2018-11-23T11:02:04.765049	+022.4C
2018-11-23T11:02:14.730948	+022.4C
2018-11-23T11:02:24.696823	+022.4C
2018-11-23T11:02:34.662821	+022.3C
2018-11-23T11:02:44.629937	+022.3C
2018-11-23T11:02:54.595951	+022.3C
2018-11-23T11:03:04.562945	+022.3C
2018-11-23T11:03:14.531007	+022.3C
2018-11-23T11:03:24.497073	+022.3C
2018-11-23T11:03:55.727072	+022.3C
2018-11-23T11:04:05.693135	+022.3C
2018-11-23T11:04:15.660062	+022.3C
2018-11-23T11:04:25.626932	+022.3C
2018-11-23T11:04:35.593987	+022.3C
2018-11-23T11:04:45.560910	+023.1C
2018-11-23T11:04:55.529001	+024.9C
2018-11-23T11:05:05.495995	+023.9C
2018-11-23T11:05:15.462986	+027.1C
2018-11-23T11:05:25.429919	+028.7C
2018-11-23T11:05:35.396925	+030.4C
2018-11-23T11:05:45.365021	+026.5C
2018-11-23T11:05:55.332017	+025.3C
2018-11-23T11:06:05.298241	+024.7C
2018-11-23T11:06:15.266015	+024.4C
2018-11-23T11:06:25.232937	+024.1C
2018-11-23T11:06:35.199950	+023.9C
2018-11-23T11:06:45.167063	+023.8C
2018-11-23T11:06:55.134996	+023.8C
2018-11-23T11:07:05.101940	+023.7C
2018-11-23T11:07:15.068962	+023.6C
2018-11-23T11:07:25.036996	+023.6C
2018-11-23T11:07:35.003963	+023.5C
2018-11-23T11:07:44.972046	+023.4C
2018-11-23T11:07:54.938888	+023.4C
2018-11-23T11:08:04.905233	+023.3C
2018-11-23T11:08:14.872882	+023.3C
2018-11-23T11:08:24.841006	+023.3C
2018-11-23T11:08:34.808994	+023.3C
2018-11-23T11:08:44.775944	+023.2C
2018-11-23T11:08:54.743951	+023.1C
2018-11-23T11:09:04.711288	+023.1C
2018-11-23T11:09:14.680031	+023.0C
2018-11-23T11:09:24.647970	+022.9C
2018-11-23T11:09:34.616996	+022.9C
2018-11-23T11:09:44.584931	+022.8C
2018-11-23T11:09:54.553997	+022.8C
2018-11-23T11:10:04.521908	+022.7C
2018-11-23T11:10:14.490234	+022.7C
2018-11-23T11:10:24.460008	+022.7C
2018-11-23T11:10:34.428993	+022.7C
2018-11-23T11:10:44.397938	+022.7C
2018-11-23T11:10:54.366907	+022.7C
2018-11-23T11:11:04.336993	+022.6C
2018-11-23T11:11:14.305230	+022.6C
2018-11-23T11:11:24.274907	+022.6C
2018-11-23T11:11:34.244975	+022.6C
2018-11-23T11:11:44.214942	+022.6C
2018-11-23T11:11:54.184822	+022.6C
2018-11-23T11:12:04.153949	+022.6C
2018-11-23T11:12:14.123959	+022.6C
2018-11-23T11:12:24.093905	+022.6C
2018-11-23T11:12:34.064002	+022.6C
2018-11-23T11:12:44.033940	+022.6C
2018-11-23T11:12:54.003826	+022.5C
2018-11-23T11:13:03.973990	+022.5C
2018-11-23T11:13:13.943941	+022.5C
2018-11-23T11:13:23.914115	+022.5C
2018-11-23T11:13:33.884077	+022.5C
2018-11-23T11:13:43.854870	+022.5C
2018-11-23T11:13:53.824128	+022.5C
2018-11-23T11:14:03.793929	+022.5C
2018-11-23T11:14:13.763905	+022.4C
2018-11-23T11:14:23.733968	+022.5C
2018-11-23T11:14:33.704932	+022.4C
2018-11-23T11:14:43.674821	+022.4C
2018-11-23T11:14:53.644941	+022.4C
2018-11-23T11:15:03.614986	+022.4C
2018-11-23T11:15:13.584933	+022.4C
2018-11-23T11:15:23.555233	+022.4C
2018-11-23T11:15:33.526998	+022.4C
2018-11-23T11:15:43.496944	+022.4C
2018-11-23T11:15:53.468007	+022.4C
2018-11-23T11:16:03.437937	+022.5C
2018-11-23T11:16:13.408825	+022.4C
2018-11-23T11:16:23.378252	+022.5C
2018-11-23T11:16:33.349996	+022.5C
2018-11-23T11:16:43.319821	+022.5C
2018-11-23T11:16:53.291016	+023.5C
2018-11-23T11:17:03.261014	+023.5C
2018-11-23T11:17:13.230834	+026.8C
2018-11-23T11:17:23.200221	+029.1C
2018-11-23T11:17:33.171017	+030.3C
2018-11-23T11:17:43.139821	+031.6C
2018-11-23T11:17:53.109999	+032.1C
2018-11-23T11:18:03.078997	+032.3C
2018-11-23T11:18:13.048223	+032.2C
2018-11-23T11:18:23.018965	+031.7C
2018-11-23T11:18:32.990001	+030.3C
2018-11-23T11:18:42.958237	+029.2C
2018-11-23T11:18:52.927995	+028.3C
2018-11-23T11:19:02.897993	+027.5C
2018-11-23T11:19:12.867996	+026.8C
2018-11-23T11:19:22.836936	+026.2C
2018-11-23T11:19:32.806962	+025.7C
2018-11-23T11:19:42.776907	+025.3C
2018-11-23T11:19:52.747221	+024.9C
2018-11-23T11:20:02.716927	+024.4C
2018-11-23T11:20:12.686823	+024.1C
2018-11-23T11:20:22.656936	+023.9C
2018-11-23T11:20:32.626970	+023.6C
2018-11-23T11:20:42.596997	+023.4C
2018-11-23T11:20:52.566092	+023.1C
2018-11-23T11:21:02.535826	+022.9C
2018-11-23T11:21:12.504908	+022.8C
2018-11-23T11:21:22.474862	+022.6C
2018-11-23T11:21:32.444993	+022.4C
2018-11-23T11:21:42.414210	+022.3C
2018-11-23T11:21:52.384995	+022.1C
2018-11-23T11:22:02.353942	+022.0C
2018-11-23T11:22:12.323996	+021.9C
2018-11-23T11:22:22.292967	+021.8C
2018-11-23T11:22:32.262104	+021.7C
2018-11-23T11:22:42.231206	+021.6C
2018-11-23T11:22:52.200984	+021.5C
2018-11-23T11:23:02.169953	+021.4C
2018-11-23T11:23:12.138959	+021.4C
2018-11-23T11:23:22.107987	+021.4C
2018-11-23T11:23:32.076995	+021.5C
2018-11-23T11:23:42.044985	+021.6C
2018-11-23T11:23:52.013931	+021.7C
2018-11-23T11:24:01.982928	+021.9C
